Timestamp,Elapsed_Time_s,Temp1_C,Temp2_C,Temp3_C,Volt1_V,Volt2_V,Volt3_V,Volt4_V,Set_Rudder_deg,Actual_Rudder_deg
2025-08-10T00:35:13.262962,22.395,25.05,586.18,25.69,3.26,3.26,3.25,3.29,0,164212.0
2025-08-10T00:35:13.579793,22.712,25.07,587.29,25.67,3.27,3.27,3.24,3.28,0,164212.0
2025-08-10T00:35:13.579793,22.712,25.07,587.29,25.67,3.27,3.27,3.24,3.29,0,164212.0
2025-08-10T00:35:13.913358,23.046,25.01,588.32,25.69,3.27,3.26,3.25,3.29,0,164212.0
2025-08-10T00:35:13.913358,23.046,25.12,587.29,25.69,3.26,3.27,3.24,3.30,0,164212.0
2025-08-10T00:35:14.243462,23.376,25.07,590.13,25.64,3.26,3.27,3.25,3.28,0,164212.0
2025-08-10T00:35:14.243462,23.376,25.05,588.32,25.67,3.26,3.27,3.25,3.31,0,164212.0
2025-08-10T00:35:14.571859,23.704,25.03,587.29,25.67,3.26,3.27,3.25,3.29,0,164212.0
2025-08-10T00:35:14.571859,23.704,25.05,586.18,25.67,3.26,3.25,3.27,3.29,0,164212.0
2025-08-10T00:35:14.894599,24.027,25.09,588.32,25.67,3.26,3.27,3.25,3.34,0,164212.0
2025-08-10T00:35:14.903368,24.036,25.07,587.29,25.64,3.26,3.27,3.24,3.29,0,164212.0
2025-08-10T00:35:15.222797,24.355,25.16,586.18,25.67,3.24,3.29,3.25,3.29,0,164212.0
2025-08-10T00:35:15.551936,24.684,25.09,589.26,25.62,3.27,3.27,3.24,3.29,0,164212.0
2025-08-10T00:35:15.551936,24.684,25.09,587.29,25.62,3.26,3.27,3.25,3.29,0,164212.0
2025-08-10T00:35:15.551936,24.684,25.07,587.29,25.64,3.26,3.27,3.24,3.29,0,164212.0
2025-08-10T00:35:15.884419,25.017,25.07,586.18,25.67,3.26,3.27,3.24,3.29,0,164212.0
2025-08-10T00:35:15.884419,25.017,25.05,588.32,25.64,3.26,3.27,3.25,3.28,0,164212.0
2025-08-10T00:35:16.217691,25.350,25.03,587.29,25.69,3.26,3.27,3.22,3.31,0,163949.9
2025-08-10T00:35:16.217691,25.350,25.07,587.29,25.67,3.26,3.27,3.24,3.29,0,163949.9
2025-08-10T00:35:16.535612,25.668,25.09,588.32,25.69,3.26,3.27,3.25,3.29,0,163949.9
2025-08-10T00:35:16.535612,25.668,25.05,587.29,25.67,3.26,3.27,3.25,3.29,0,163949.9
2025-08-10T00:35:16.979611,26.112,25.05,586.18,25.67,3.27,3.26,3.25,3.29,0,163949.9
2025-08-10T00:35:16.979611,26.112,25.03,588.32,25.58,3.25,3.28,3.25,3.29,0,163949.9
2025-08-10T00:35:17.311469,26.444,25.09,586.18,25.69,3.27,3.26,3.25,3.29,0,164212.0
2025-08-10T00:35:17.311469,26.444,25.09,587.29,25.67,3.26,3.27,3.25,3.27,0,164212.0
